,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime,EstimateTime,Estimates
0,,KHH3011,3011,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",1,14,1,2021-12-15T23:21:00+08:00,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
1,,KHH3011,3011,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",1,14,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
2,,KHH3905,3905,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH248,248,"{'Zh_tw': '248', 'En': '248'}",KHH248,248,"{'Zh_tw': '248', 'En': '248'}",1,16,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
3,,KHH3905,3905,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH2482,2482,"{'Zh_tw': '248區間車', 'En': '248(Interval)'}",KHH2482,2482,"{'Zh_tw': '248區間車', 'En': '248(Interval)'}",1,16,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
4,773-FP,KHH8524,8524,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",0,49,0,2021-12-15T23:25:00+08:00,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,2100.0,"[{'PlateNumb': '773-FP', 'EstimateTime': 2100, 'IsLastBus': False}]"
5,916-V2,KHH11622,11622,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",0,58,0,2021-12-15T23:09:00+08:00,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,360.0,"[{'PlateNumb': '916-V2', 'EstimateTime': 360, 'IsLastBus': False}, {'PlateNumb': '781-FP', 'EstimateTime': 2640, 'IsLastBus': False}]"
6,,KHH11622,11622,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",0,37,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
7,,KHH2882,2882,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH60,60,"{'Zh_tw': '60覺民幹線', 'En': '60 Jyuemin Main Line'}",KHH60,60,"{'Zh_tw': '60覺民幹線', 'En': '60 Jyuemin Main Line'}",0,12,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
8,,KHH2882,2882,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH6001,6001,"{'Zh_tw': '60覺民幹線區間車', 'En': '60 Jyuemin Main Line(Interval)'}",KHH6001,6001,"{'Zh_tw': '60覺民幹線區間車', 'En': '60 Jyuemin Main Line(Interval)'}",0,2,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
9,EAL-0166,KHH8644,8644,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH7002,7002,"{'Zh_tw': '綠1北', 'En': 'Green1 North'}",KHH7002,7002,"{'Zh_tw': '綠1北', 'En': 'Green1 North'}",0,17,0,2021-12-15T22:55:00+08:00,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,180.0,"[{'PlateNumb': 'EAL-0166', 'EstimateTime': 180, 'IsLastBus': True}]"
10,,KHH3013,3013,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH8010,8010,"{'Zh_tw': '8010', 'En': '8010 '}",KHH8010,8010,"{'Zh_tw': '8010', 'En': '8010 '}",0,2,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
11,,KHH11634,11634,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",0,34,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
12,,KHH11634,11634,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",0,32,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
13,,KHH17322,17322,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",0,29,3,,2021-12-15T22:53:27+08:00,2021-12-15T22:53:47+08:00,,
